https://wind.nrel.gov/forum/wind/viewtopic.php?t=363
WindVxi	GenSpeed	RotPwr	GenPwr	RotThrust	RotTorq	RotSpeed	BldPitch1	GenTq	TSR	OoPDefl1	IPDefl1	TTDspFA	TTDspSS
(m/sec)	(rpm)	(kW)	(kW)	(kN)	(kN·m)	(rpm)	(deg)	(kN·m)	(-)	(m)	(m)	(m)	(m)
3	676.3	42.9	40.5	171.7	58.8	6.972	0.000	0.606	15.316	0.9890	-0.0820	0.0278	-0.0004
4	696.7	188.2	177.7	215.9	250.2	7.183	0.000	2.580	11.835	1.3159	-0.0993	0.0540	-0.0024
5	728.1	427.9	403.9	268.9	544.3	7.506	0.000	5.611	9.895	1.7103	-0.1588	0.0852	-0.0056
6	770.3	781.3	737.6	330.3	939.5	7.942	0.000	9.686	8.724	2.1517	-0.1635	0.1214	-0.0100
7	821.4	1257.6	1187.2	398.6	1418.1	8.469	0.000	14.620	7.974	2.6592	-0.2925	0.1615	-0.0152
8	888.1	1876.2	1771.1	478.0	1956.9	9.156	0.000	20.174	7.543	3.2292	-0.3295	0.2080	-0.0210
9	998.7	2668.0	2518.6	579.2	2474.5	10.296	0.000	25.510	7.540	3.9660	-0.4173	0.2669	-0.0265
10	1109.0	3653.0	3448.4	691.5	3051.1	11.431	0.000	31.455	7.535	4.7325	-0.4516	0.3322	-0.0326
11	1153.3	4833.2	4562.5	790.6	3881.3	11.890	0.000	40.014	7.125	5.3692	-0.5610	0.3901	-0.0416
12	1173.9	5296.6	5000.0	690.0	4180.1	12.100	3.823	43.094	6.646	4.4382	-0.7149	0.3319	-0.0456
13	1173.8	5296.6	5000.0	608.4	4180.1	12.100	6.602	43.094	6.135	3.6501	-0.7404	0.2844	-0.0460
14	1173.8	5296.6	5000.0	557.9	4180.1	12.100	8.668	43.094	5.697	3.1155	-0.7307	0.2550	-0.0462
15	1173.8	5296.6	5000.0	520.5	4180.1	12.100	10.450	43.094	5.317	2.6880	-0.7051	0.2333	-0.0463
16	1173.8	5296.6	5000.0	491.2	4180.1	12.100	12.055	43.094	4.984	2.3278	-0.6693	0.2165	-0.0464
17	1173.8	5296.6	5000.0	467.7	4180.1	12.100	13.536	43.094	4.691	2.0138	-0.6259	0.2030	-0.0465
18	1173.8	5296.6	5000.0	448.4	4180.1	12.100	14.920	43.094	4.431	1.7327	-0.5759	0.1921	-0.0466
19	1173.8	5296.6	5000.0	432.3	4180.1	12.100	16.226	43.094	4.197	1.4765	-0.5203	0.1832	-0.0467
20	1173.8	5296.7	5000.0	418.8	4180.1	12.100	17.473	43.094	3.988	1.2452	-0.4616	0.1758	-0.0467
21	1173.8	5296.6	5000.0	406.7	4180.1	12.100	18.699	43.094	3.798	1.0430	-0.4042	0.1691	-0.0467
22	1173.8	5296.7	5000.0	395.3	4180.1	12.100	19.941	43.094	3.625	0.8829	-0.3563	0.1625	-0.0467
23	1173.9	5296.6	5000.0	385.1	4180.1	12.100	21.177	43.094	3.467	0.7387	-0.3082	0.1568	-0.0467
24	1173.9	5296.6	5000.0	376.7	4180.1	12.100	22.347	43.094	3.323	0.5904	-0.2514	0.1525	-0.0467
25	1173.9	5296.7	5000.0	369.3	4180.1	12.100	23.469	43.094	3.190	0.4404	-0.1875	0.1487	-0.0466
